Btbd5
Hccs
D0HXS9928E
Pir
Pigs
Lrrc56
Uba52
Caskin2
Atp6v0a2
Pcyox1
Cstf3
Bcl6
Gtpbp10
Zfp69
4933411K20Rik
Bap1
Abcb10
Ngfr
AK122525
Fbxo4
Tprt
BC031575
9030625A04Rik
Ablim1
BC025575
Klhl15
Rnf220
Ccl17
Pdgfc
Nnmt
Ddx41
Phf5a
Capza2
Nup37
Ppp1r13l
D030060O14Rik
Psma6
Dock3
Ext2
Adipor1
Hcn3
Ptpn21
2310038K02Rik
Acad9
Prkaa2
Gpam
P4hb
Msantd4
BC014795
C230029F24Rik
Mrpl50
Cxcl12
1200003O06Rik
6330549D23Rik
Ccbe1
Flrt1
BC030440
Edn3
Zfp35
Rtn4rl2
Eif3h
Glrb
Sec61g
0610039N19Rik
Lrrc47
Ifnar1
Cars
Ankrd24
Lgals12
Pcsk1n
Pxn
2310045A20Rik
6.72E+21
Rybp
Hdgfrp2
AL033326
Inppl1
Bmi1
9030617O03Rik
Ccnk
Wnk4
Elovl4
Mrvi1
LOC541307
Blmh
BC018601
C530008M17Rik
Sf3b4
Pdzrn3
Opa1
4933427D06Rik
G431004K08Rik
Dem1
Tfpi
Dhcr7
A730089K16Rik
Bfar
Muc1
Kremen
Prnp
Gss
Plk1
Arntl
Sema4a
Cdc2a
5730455A04Rik
Slc6a9
Mpa2
Psma3
Anapc11
Ncdn
Eepd1
Klra16
Tnfrsf25
Ins2
Tm4sf2
Mut
Ccdc65
Mllt10
Sfrs8
Cyln2
Mfi2
Mvp
Pip4k2b
Pin1
Bcl11a
Mat2a
Capg
Acat2
Aff4
Sec6l1
