Islr
Cops6
Mlf2
Hells
Sdsl
Tns
A530082C11Rik
Spire2
BC036718
Tbc1d2b
Pfdn4
Itga8
Mrps11
Gbf1
Fkbp1a
Hnrpk
Arcn1
1300012G16Rik
F5
Taf5
Swap70
Pof1b
Adora1
1200008A14Rik
H2-Ke6
4833439L19Rik
Hey2
Lcat
5830443L24Rik
Slc35a2
