Identifier,isPresent_4wpi,log2.Ratio_4wpi,pValue_4wpi,fdr_4wpi,isPresent_8wpi,log2.Ratio_8wpi,pValue_8wpi,fdr_8wpi,isPresent_12wpi,log2.Ratio_12wpi,pValue_12wpi,fdr_12wpi,isPresent_14wpi,log2.Ratio_14wpi,pValue_14wpi,fdr_14wpi,isPresent_16wpi,log2.Ratio_16wpi,pValue_16wpi,fdr_16wpi,isPresent_18wpi,log2.Ratio_18wpi,pValue_18wpi,fdr_18wpi,isPresent_20wpi,log2.Ratio_20wpi,pValue_20wpi,fdr_20wpi,isPresent_term,log2.Ratio_term,pValue_term,fdr_term,CellType
0610007C21Rik,TRUE,0.1205,0.4224,0.9959,TRUE,0.1419,0.1932,0.4244,TRUE,0.02825,0.778,0.9319,TRUE,-0.03107,0.8139,0.9609,TRUE,0.154,0.2612,0.6535,TRUE,0.06523,0.6927,0.9825,TRUE,0.1828,0.2333,0.6314,TRUE,0.4897,0.003471,0.02131,_NE
0610007L01Rik,TRUE,0.04896,0.7403,0.9959,TRUE,-0.01189,0.9114,0.9617,TRUE,-0.02802,0.7686,0.9281,TRUE,0.02867,0.8244,0.9626,TRUE,0.07804,0.5668,0.8412,TRUE,-0.04548,0.7878,0.9896,TRUE,-0.09968,0.4985,0.8163,TRUE,0.08986,0.5841,0.785,_NE
0610007N19Rik,TRUE,0.3217,0.402,0.9959,TRUE,-0.03875,0.9021,0.9563,TRUE,-0.4828,0.1162,0.4837,TRUE,-0.7257,0.04455,0.5111,TRUE,-0.1382,0.6993,0.895,TRUE,0.8406,0.03976,0.4929,TRUE,0.1634,0.6914,0.9062,TRUE,1.064,0.006495,0.03512,_NE
0610007P08Rik,TRUE,-0.2735,0.1302,0.9959,TRUE,0.2222,0.1075,0.3046,TRUE,-0.129,0.305,0.6927,TRUE,-0.3732,0.05557,0.5381,TRUE,0.04704,0.7875,0.9304,TRUE,0.1049,0.677,0.9825,TRUE,-0.1628,0.462,0.7971,TRUE,-0.04801,0.8764,0.9467,_NE
0610007P14Rik,TRUE,-0.1157,0.46,0.9959,TRUE,0.1253,0.2941,0.5365,TRUE,0.09143,0.4061,0.7622,TRUE,0.1576,0.2664,0.742,TRUE,0.1868,0.1877,0.5884,TRUE,-0.09261,0.6148,0.9825,TRUE,0.05768,0.7367,0.9235,TRUE,-0.107,0.549,0.7608,_NE
0610007P22Rik,TRUE,0.2027,0.2945,0.9959,TRUE,-0.2179,0.1672,0.3912,TRUE,0.2566,0.0966,0.4498,TRUE,0.1129,0.5442,0.8732,TRUE,-0.05398,0.7611,0.9214,TRUE,-0.1564,0.5268,0.9765,TRUE,0.2625,0.1657,0.5536,TRUE,0.1342,0.5389,0.7528,_NE
0610009B22Rik,TRUE,0.05038,0.8203,0.9983,TRUE,0.09083,0.5732,0.7634,TRUE,0.0115,0.9475,0.9868,TRUE,0.1082,0.5915,0.8916,TRUE,0.3673,0.06089,0.3969,TRUE,0.1525,0.5205,0.9764,TRUE,-0.1177,0.5931,0.8587,TRUE,0.01869,0.9369,0.9735,_NE
0610009D07Rik,TRUE,-0.05436,0.7387,0.9959,TRUE,0.2118,0.07067,0.2409,TRUE,-0.04266,0.7205,0.9106,TRUE,0.1227,0.4189,0.8304,TRUE,0.4415,0.00435,0.1085,TRUE,0.1743,0.3529,0.9313,TRUE,-0.2803,0.1214,0.4894,TRUE,0.2479,0.1809,0.4009,_NE
0610009L18Rik,TRUE,0.05312,0.8808,0.9983,TRUE,-0.1614,0.5926,0.7754,TRUE,-0.01642,0.9573,0.9893,TRUE,-0.1897,0.6011,0.8953,TRUE,-0.003658,0.9918,0.9972,TRUE,-0.174,0.6937,0.9825,TRUE,0.1467,0.7157,0.9146,TRUE,0.3334,0.361,0.6063,_NE
0610009O20Rik,TRUE,0.11,0.483,0.9959,TRUE,-0.1781,0.1331,0.3449,TRUE,0.1191,0.2905,0.6793,TRUE,0.007119,0.9564,0.9926,TRUE,-0.1718,0.2153,0.6135,TRUE,0.01748,0.9231,0.9971,TRUE,0.1485,0.3586,0.7342,TRUE,-0.02134,0.9035,0.9593,_NE
0610010F05Rik,TRUE,-0.2452,0.1055,0.9959,TRUE,0.2357,0.04541,0.1856,TRUE,-0.02332,0.8433,0.9572,TRUE,-0.08283,0.5733,0.8846,TRUE,0.07908,0.6017,0.8551,TRUE,-0.08238,0.6901,0.9825,TRUE,-0.2158,0.2226,0.621,TRUE,-0.009004,0.9632,0.9855,_NE
0610010K14Rik,TRUE,0.2538,0.2325,0.9959,TRUE,-0.287,0.113,0.314,TRUE,0.06984,0.6671,0.8894,TRUE,0.05621,0.7545,0.9434,TRUE,-0.2287,0.2354,0.6339,TRUE,-0.04769,0.8393,0.9927,TRUE,0.2614,0.2223,0.621,TRUE,0.1638,0.4394,0.6769,_NE
0610010O12Rik,TRUE,0.302,0.1883,0.9959,TRUE,-0.5387,0.001052,0.01685,TRUE,0.4613,0.002665,0.06608,TRUE,0.07869,0.69,0.9235,TRUE,-0.4705,0.01593,0.218,TRUE,-0.2924,0.2388,0.8767,TRUE,0.5325,0.02868,0.2474,TRUE,-0.08429,0.6636,0.8355,_NE
0610011F06Rik,TRUE,0.04627,0.8386,0.9983,TRUE,-0.2206,0.1548,0.3746,TRUE,0.253,0.1064,0.4672,TRUE,0.13,0.4809,0.8547,TRUE,-0.1283,0.504,0.8094,TRUE,-0.2186,0.3393,0.9223,TRUE,0.1086,0.6152,0.8705,TRUE,-0.1016,0.6286,0.814,_NE
0610011L14Rik,TRUE,-0.009674,0.9498,0.9991,TRUE,-0.0005542,0.9961,0.9986,TRUE,0.0221,0.8225,0.9496,TRUE,0.1893,0.1536,0.6707,TRUE,0.05242,0.6976,0.895,TRUE,-0.05184,0.7679,0.9896,TRUE,-0.002104,0.9892,0.9972,TRUE,-0.03794,0.8333,0.9257,_NE
0610012G03Rik,TRUE,0.1741,0.3529,0.9959,TRUE,0.06469,0.6355,0.8046,TRUE,0.2661,0.0546,0.3497,TRUE,0.1685,0.3227,0.7794,TRUE,0.06437,0.7176,0.9032,TRUE,0.00643,0.9775,0.9978,TRUE,0.3346,0.09402,0.437,TRUE,0.02313,0.9103,0.9626,_NE
0610030E20Rik,TRUE,-0.09504,0.5452,0.9959,TRUE,0.3674,0.001533,0.02203,TRUE,-0.03344,0.7631,0.926,TRUE,-0.0338,0.8174,0.9615,TRUE,0.0836,0.5701,0.8429,TRUE,0.3774,0.05952,0.582,TRUE,-0.0178,0.9261,0.9803,TRUE,0.2186,0.2738,0.5178,_NE
0610031J06Rik,TRUE,0.1447,0.3609,0.9959,TRUE,0.01275,0.9149,0.9633,TRUE,-0.006008,0.9594,0.9899,TRUE,0.02969,0.8301,0.9645,TRUE,0.1181,0.442,0.7759,TRUE,0.2206,0.2023,0.8451,TRUE,0.3803,0.01992,0.2064,TRUE,0.7494,7.691E-05,0.0008669,_NE
0610037L13Rik,TRUE,-0.03457,0.8415,0.9983,TRUE,0.08151,0.5276,0.7314,TRUE,-0.01275,0.9142,0.9788,TRUE,-0.03129,0.8249,0.9626,TRUE,-0.01162,0.9358,0.9795,TRUE,0.07845,0.6766,0.9825,TRUE,-0.07614,0.6502,0.8854,TRUE,-0.08556,0.6542,0.8294,_NE
0610037P05Rik,TRUE,0.0005509,0.9973,0.9999,TRUE,0.2288,0.04361,0.1818,TRUE,-0.04828,0.6625,0.8881,TRUE,0.2371,0.1012,0.6188,TRUE,0.2914,0.05421,0.3807,TRUE,0.05295,0.7707,0.9896,TRUE,-0.09668,0.5612,0.8448,TRUE,0.1363,0.4553,0.6885,_NE
0610040B10Rik,TRUE,-0.01116,0.9795,0.9991,TRUE,-0.2682,0.4518,0.675,TRUE,-0.01598,0.9711,0.9937,TRUE,-0.4119,0.377,0.8112,TRUE,-0.4012,0.3118,0.6922,TRUE,0.01261,0.9823,0.9978,TRUE,0.05102,0.9401,0.9839,TRUE,1.349,0.01404,0.06444,_NE
0610040F04Rik,TRUE,0.8071,0.09393,0.9959,TRUE,0.2484,0.4271,0.6564,TRUE,-0.6587,0.09461,0.4464,TRUE,-0.1636,0.6802,0.9216,TRUE,0.03146,0.9326,0.9787,TRUE,0.1851,0.6938,0.9825,TRUE,-0.5509,0.2123,0.6117,TRUE,0.6159,0.2047,0.4329,_NE
0610040J01Rik,TRUE,0.1441,0.6468,0.9959,TRUE,0.003349,0.9885,0.9952,TRUE,-0.09425,0.7014,0.9035,TRUE,-0.2077,0.4506,0.8434,TRUE,-0.187,0.4777,0.7965,TRUE,0.4283,0.2141,0.859,TRUE,0.5735,0.06789,0.3773,TRUE,1.118,0.0002292,0.002199,_NE
0610043K17Rik,TRUE,-0.05215,0.9283,0.9991,TRUE,0.03648,0.9361,0.974,TRUE,-0.3084,0.5493,0.8426,TRUE,-1.099,0.03125,0.4733,TRUE,-0.05518,0.9054,0.9718,TRUE,0.1067,0.8451,0.9927,TRUE,0.229,0.6716,0.8961,TRUE,-0.07126,0.8962,0.9567,_NE
0910001L09Rik,TRUE,0.2742,0.1395,0.9959,TRUE,-0.3026,0.04517,0.1852,TRUE,0.1726,0.1922,0.5882,TRUE,0.1272,0.4088,0.8247,TRUE,-0.1096,0.5174,0.8174,TRUE,0.03916,0.8603,0.9928,TRUE,0.2622,0.1578,0.5424,TRUE,0.1394,0.4671,0.6978,_NE
100043387,TRUE,-0.3644,0.2551,0.9959,TRUE,0.02844,0.8827,0.9462,TRUE,-0.3866,0.04377,0.313,TRUE,-0.2564,0.3936,0.82,TRUE,-0.2691,0.332,0.7068,TRUE,-0.1465,0.6714,0.9825,TRUE,-0.4746,0.1109,0.4688,TRUE,-0.4642,0.2474,0.4865,_NE
1110001A16Rik,TRUE,-0.1088,0.6337,0.9959,TRUE,0.1382,0.3737,0.611,TRUE,0.05645,0.749,0.9216,TRUE,0.1724,0.429,0.8324,TRUE,0.463,0.03808,0.3312,TRUE,0.1216,0.6055,0.9825,TRUE,-0.1403,0.5178,0.824,TRUE,0.2933,0.245,0.4837,_NE
1110001J03Rik,TRUE,0.4238,0.1474,0.9959,TRUE,-0.4157,0.0359,0.1621,TRUE,0.2349,0.2513,0.6465,TRUE,0.2175,0.3706,0.8084,TRUE,-0.3106,0.2447,0.6398,TRUE,-0.04429,0.8911,0.9957,TRUE,0.1348,0.6296,0.8761,TRUE,-0.2403,0.4077,0.6496,_NE
1110002B05Rik,TRUE,0.1018,0.5854,0.9959,TRUE,0.4186,0.0008605,0.01484,TRUE,-0.04672,0.7445,0.9201,TRUE,-0.09058,0.5635,0.8792,TRUE,0.2027,0.1862,0.5858,TRUE,0.3095,0.1251,0.7583,TRUE,-0.1067,0.5582,0.843,TRUE,0.5309,0.005551,0.03115,_NE
1110002L01Rik,TRUE,-0.068,0.743,0.9959,TRUE,0.08409,0.5771,0.7655,TRUE,-0.1179,0.4772,0.8052,TRUE,-0.03952,0.8357,0.9665,TRUE,0.2684,0.1462,0.5375,TRUE,0.2093,0.3695,0.9383,TRUE,-0.01809,0.9323,0.9825,TRUE,-0.1351,0.5918,0.7911,_NE
1110002N22Rik,TRUE,-0.001539,0.9958,0.9998,TRUE,0.1928,0.3395,0.5805,TRUE,-0.3058,0.1575,0.5483,TRUE,0.08574,0.7512,0.943,TRUE,0.1746,0.4978,0.8061,TRUE,0.2048,0.5034,0.9739,TRUE,-0.4457,0.1329,0.5079,TRUE,0.1575,0.6077,0.8019,_NE
1110003E01Rik,TRUE,-0.07314,0.585,0.9959,TRUE,0.08994,0.388,0.6243,TRUE,-0.00613,0.9423,0.9856,TRUE,0.08899,0.431,0.8338,TRUE,0.1148,0.3402,0.7118,TRUE,0.0414,0.7868,0.9896,TRUE,-0.04672,0.7325,0.9213,TRUE,0.05541,0.7037,0.8565,_NE
1110004E09Rik,TRUE,0.1899,0.3058,0.9959,TRUE,0.0744,0.578,0.766,TRUE,0.0827,0.5591,0.8464,TRUE,0.2104,0.1973,0.7081,TRUE,0.2878,0.0909,0.4549,TRUE,-0.1686,0.421,0.9557,TRUE,-0.1065,0.5731,0.8501,TRUE,0.1134,0.5846,0.7855,_NE
1110004F10Rik,TRUE,-0.09685,0.4622,0.9959,TRUE,0.1036,0.3213,0.5646,TRUE,-0.1013,0.2627,0.6553,TRUE,0.07789,0.532,0.8702,TRUE,0.1458,0.2719,0.6635,TRUE,-0.08711,0.575,0.9788,TRUE,-0.0958,0.4888,0.8099,TRUE,0.2141,0.1656,0.3789,_NE
1110005A03Rik,TRUE,0.03118,0.8746,0.9983,TRUE,0.2783,0.05782,0.2141,TRUE,-0.2165,0.1788,0.5709,TRUE,0.1972,0.3335,0.785,TRUE,0.1614,0.3873,0.7424,TRUE,0.4126,0.07362,0.629,TRUE,0.06523,0.7663,0.9326,TRUE,0.23,0.3176,0.5654,_NE
1110007C09Rik,TRUE,0.202,0.5672,0.9959,TRUE,-0.8979,0.0004249,0.008911,TRUE,0.4063,0.09666,0.4499,TRUE,-0.3421,0.2346,0.7252,TRUE,-0.5034,0.1145,0.4923,TRUE,-0.3174,0.4083,0.9531,TRUE,0.4096,0.271,0.6633,TRUE,0.7357,0.02149,0.08971,_NE
1110008F13Rik,TRUE,-0.03267,0.8413,0.9983,TRUE,0.2515,0.02853,0.1426,TRUE,0.06649,0.5793,0.8541,TRUE,0.2432,0.1094,0.6235,TRUE,0.3144,0.052,0.3742,TRUE,0.1458,0.4339,0.9598,TRUE,-0.03916,0.8204,0.9498,TRUE,0.0009917,0.9957,0.9982,_NE
1110008J03Rik,TRUE,0.1515,0.5586,0.9959,TRUE,-0.5357,0.002925,0.03446,TRUE,0.4434,0.01615,0.1829,TRUE,0.1421,0.4679,0.8511,TRUE,-0.4752,0.01422,0.2093,TRUE,-0.4972,0.08861,0.6743,TRUE,0.639,0.00495,0.09252,TRUE,-0.698,0.004561,0.02642,_NE
1110008L16Rik,TRUE,-0.1045,0.707,0.9959,TRUE,0.1754,0.3658,0.6035,TRUE,-0.1652,0.4208,0.7708,TRUE,-0.1464,0.5418,0.8723,TRUE,0.3291,0.1603,0.5551,TRUE,0.2721,0.3676,0.9373,TRUE,-0.05276,0.8471,0.9608,TRUE,0.2377,0.3826,0.6267,_NE
1110008P14Rik,TRUE,0.5601,0.01136,0.8007,TRUE,-0.3521,0.06175,0.2226,TRUE,0.5796,6.553E-05,0.006741,TRUE,0.117,0.5385,0.8712,TRUE,-0.6929,0.0001027,0.01022,TRUE,-0.3803,0.1815,0.8245,TRUE,0.8075,0.0007713,0.02402,TRUE,-0.5917,0.003107,0.01955,_NE
1110012J17Rik,TRUE,0.3649,0.1537,0.9959,TRUE,-0.2425,0.05326,0.2033,TRUE,-0.1192,0.2587,0.6507,TRUE,-0.06831,0.6602,0.915,TRUE,-0.6742,4.272E-05,0.005888,TRUE,-0.3832,0.129,0.7649,TRUE,0.211,0.2465,0.6447,TRUE,-0.5655,0.002188,0.01469,_NE
1110012L19Rik,TRUE,0.01077,0.9652,0.9991,TRUE,0.4519,0.01406,0.09462,TRUE,0.002048,0.9916,0.999,TRUE,0.1791,0.4294,0.8326,TRUE,0.1969,0.3743,0.7353,TRUE,0.03031,0.9118,0.9959,TRUE,0.02203,0.9314,0.9821,TRUE,-0.07653,0.7726,0.8943,_NE
1110014N23Rik,TRUE,0.2608,0.1261,0.9959,TRUE,-0.6343,8.961E-08,1.364E-05,TRUE,0.3507,0.0005143,0.02471,TRUE,0.1047,0.4679,0.8511,TRUE,-0.5352,0.0004777,0.02684,TRUE,-0.323,0.1664,0.8065,TRUE,0.374,0.03989,0.2905,TRUE,-0.2133,0.2264,0.4609,_NE
1110017D15Rik,TRUE,0.3162,0.423,0.9959,TRUE,-0.6584,0.04216,0.178,TRUE,-0.1174,0.7238,0.9118,TRUE,-0.5741,0.1472,0.6652,TRUE,-0.379,0.2515,0.6449,TRUE,-0.02586,0.9497,0.9975,TRUE,-0.1684,0.7097,0.9123,TRUE,-0.2925,0.4894,0.7151,_NE
1110018G07Rik,TRUE,-0.1404,0.4671,0.9959,TRUE,0.1184,0.3309,0.5736,TRUE,-0.0282,0.7407,0.9191,TRUE,0.2656,0.02768,0.452,TRUE,0.2522,0.0632,0.4015,TRUE,-0.08385,0.5974,0.9807,TRUE,-0.153,0.2905,0.6831,TRUE,-0.1951,0.2288,0.4643,_NE
1110018J18Rik,TRUE,-0.07402,0.8146,0.998,TRUE,0.3614,0.1295,0.3392,TRUE,-0.06798,0.7749,0.9302,TRUE,-0.269,0.3724,0.8088,TRUE,-0.04307,0.8761,0.9636,TRUE,0.4983,0.1269,0.7608,TRUE,-0.1037,0.7314,0.9211,TRUE,-0.0006167,0.9984,0.9993,_NE
1110019D14Rik,TRUE,-0.15,0.7138,0.9959,TRUE,0.421,0.1731,0.3971,TRUE,-0.4226,0.2089,0.6058,TRUE,0.1204,0.7661,0.9471,TRUE,-0.09718,0.7916,0.932,TRUE,0.6527,0.1798,0.8211,TRUE,-0.08656,0.8517,0.9622,TRUE,0.4438,0.2841,0.5298,_NE
1110020A21Rik,TRUE,0.5671,0.2651,0.9959,TRUE,0.3116,0.5088,0.7164,TRUE,-0.03895,0.9325,0.9829,TRUE,0.3067,0.5593,0.8781,TRUE,0.2683,0.5778,0.8464,TRUE,0.2731,0.6402,0.9825,TRUE,-0.408,0.5569,0.8427,TRUE,1.265,0.03118,0.118,_NE
1110020G09Rik,TRUE,-0.1409,0.3317,0.9959,TRUE,0.2193,0.05838,0.2153,TRUE,-0.08751,0.4005,0.7578,TRUE,-0.04669,0.738,0.9385,TRUE,0.22,0.1023,0.4735,TRUE,0.3651,0.04602,0.5293,TRUE,-0.01354,0.9401,0.9839,TRUE,0.4438,0.01111,0.05394,_NE
1110021J02Rik,TRUE,0.0385,0.8409,0.9983,TRUE,0.18,0.1861,0.4152,TRUE,-0.1604,0.2645,0.6568,TRUE,0.03273,0.8499,0.9699,TRUE,0.1297,0.4437,0.7765,TRUE,0.2461,0.2711,0.8914,TRUE,-0.06966,0.7261,0.9191,TRUE,-0.04838,0.843,0.93,_NE
1110021L09Rik,TRUE,-0.1471,0.393,0.9959,TRUE,0.07238,0.5665,0.7578,TRUE,-0.1757,0.1461,0.5298,TRUE,0.03658,0.8197,0.9616,TRUE,0.1597,0.2931,0.6829,TRUE,0.401,0.03717,0.4763,TRUE,-0.05756,0.7458,0.9257,TRUE,0.1652,0.3582,0.6036,_NE
1110028C15Rik,TRUE,-0.2636,0.2441,0.9959,TRUE,0.3761,0.01851,0.1113,TRUE,-0.3951,0.03009,0.257,TRUE,-0.3196,0.1528,0.6691,TRUE,-0.1985,0.3349,0.7087,TRUE,-0.00528,0.9855,0.9978,TRUE,-0.5691,0.01219,0.1612,TRUE,-0.05685,0.8597,0.9379,_NE
1110031I02Rik,TRUE,0.267,0.4336,0.9959,TRUE,-0.2006,0.3875,0.6238,TRUE,0.04004,0.867,0.965,TRUE,-0.3386,0.2357,0.7252,TRUE,-0.1282,0.6542,0.8784,TRUE,-0.3609,0.2958,0.9025,TRUE,0.1293,0.6806,0.9006,TRUE,0.5732,0.06596,0.2034,_NE
1110032A03Rik,TRUE,-0.0427,0.8147,0.998,TRUE,0.1825,0.1626,0.3853,TRUE,-0.07829,0.5787,0.8541,TRUE,-0.03746,0.8246,0.9626,TRUE,0.3781,0.02055,0.2482,TRUE,0.1132,0.574,0.9788,TRUE,-0.18,0.3375,0.7189,TRUE,0.3648,0.04798,0.1617,_NE
1110032A04Rik,TRUE,0.5337,0.1729,0.9959,TRUE,0.326,0.3162,0.5594,TRUE,-0.1319,0.6625,0.8881,TRUE,-0.6691,0.1006,0.6188,TRUE,-0.2139,0.5946,0.852,TRUE,0.01766,0.9659,0.9975,TRUE,-0.8265,0.04948,0.3234,TRUE,-1.167,0.01233,0.05837,_NE
1110032F04Rik,TRUE,0.08305,0.7858,0.9959,TRUE,0.146,0.4145,0.6465,TRUE,-0.004109,0.9841,0.997,TRUE,0.2477,0.2522,0.7334,TRUE,-0.03579,0.8812,0.9654,TRUE,-0.5335,0.05959,0.582,TRUE,-0.08412,0.7528,0.928,TRUE,-1.012,0.000427,0.003749,_NE
1110034A24Rik,TRUE,-0.1395,0.6635,0.9959,TRUE,0.03768,0.8672,0.9382,TRUE,-0.003479,0.9886,0.9983,TRUE,0.03198,0.906,0.9837,TRUE,0.009373,0.972,0.9906,TRUE,-0.005647,0.9862,0.9978,TRUE,0.1897,0.5682,0.8487,TRUE,0.1384,0.6498,0.827,_NE
1110034B05Rik,TRUE,-0.07084,0.7595,0.9959,TRUE,0.3185,0.07967,0.2581,TRUE,0.07158,0.7009,0.9033,TRUE,-0.2419,0.3233,0.7794,TRUE,0.02049,0.9215,0.9754,TRUE,-0.05555,0.8555,0.9928,TRUE,-0.2885,0.2684,0.6619,TRUE,0.1652,0.5759,0.7794,_NE
1110034G24Rik,TRUE,-0.1219,0.6208,0.9959,TRUE,0.2668,0.1278,0.3368,TRUE,-0.3698,0.07137,0.3922,TRUE,0.1248,0.5746,0.8856,TRUE,0.08112,0.7044,0.897,TRUE,-0.009115,0.974,0.9978,TRUE,-0.1323,0.6068,0.866,TRUE,0.395,0.149,0.3539,_NE
1110035M17Rik,TRUE,0.4415,0.3014,0.9959,TRUE,-0.5681,0.1116,0.3119,TRUE,0.5649,0.08155,0.4155,TRUE,0.2086,0.6015,0.8955,TRUE,0.1034,0.7814,0.9285,TRUE,-0.5651,0.1971,0.8419,TRUE,0.2487,0.617,0.8714,TRUE,-0.3395,0.4098,0.651,_NE
1110037F02Rik,TRUE,-0.2234,0.127,0.9959,TRUE,0.1799,0.108,0.3057,TRUE,-0.2227,0.02158,0.216,TRUE,0.01259,0.9186,0.9857,TRUE,0.1101,0.4438,0.7767,TRUE,0.06166,0.7054,0.9842,TRUE,-0.1528,0.2811,0.6716,TRUE,-0.08262,0.62,0.8091,_NE
1110038B12Rik,TRUE,0.1845,0.4825,0.9959,TRUE,-0.1779,0.4062,0.6393,TRUE,0.2218,0.2602,0.6529,TRUE,0.2102,0.3598,0.8026,TRUE,-0.07553,0.7409,0.9141,TRUE,0.05592,0.8504,0.9927,TRUE,0.1788,0.5271,0.829,TRUE,0.6577,0.01239,0.05864,_NE
1110038D17Rik,TRUE,0.07,0.7059,0.9959,TRUE,-0.04514,0.7489,0.8739,TRUE,-0.04547,0.7639,0.9262,TRUE,0.16,0.3372,0.788,TRUE,-0.04342,0.7947,0.9327,TRUE,-0.0477,0.8229,0.9904,TRUE,-0.1681,0.3566,0.7328,TRUE,0.1741,0.4047,0.6472,_NE
1110038F14Rik,TRUE,0.3578,0.09675,0.9959,TRUE,-0.2352,0.1815,0.4089,TRUE,0.2791,0.09204,0.4405,TRUE,0.04386,0.819,0.9615,TRUE,-0.2702,0.1667,0.5634,TRUE,-0.2251,0.3804,0.9409,TRUE,0.2269,0.313,0.7008,TRUE,0.09277,0.6754,0.8426,_NE
1110046J04Rik,TRUE,0.629,0.1538,0.9959,TRUE,0.1192,0.7203,0.8554,TRUE,0.09205,0.774,0.9299,TRUE,0.2472,0.4976,0.8615,TRUE,0.3541,0.3176,0.6965,TRUE,0.3164,0.4878,0.9719,TRUE,-0.1261,0.7733,0.9351,TRUE,-0.2208,0.6359,0.818,_NE
1110049F12Rik,TRUE,0.06712,0.6352,0.9959,TRUE,0.06138,0.5753,0.7645,TRUE,0.08969,0.3559,0.7287,TRUE,0.248,0.04535,0.5132,TRUE,0.1833,0.1719,0.5696,TRUE,-0.09325,0.5877,0.979,TRUE,0.1248,0.4079,0.7636,TRUE,0.1092,0.5427,0.7559,_NE
1110050K14Rik,TRUE,0.3572,0.4823,0.9959,TRUE,-0.1085,0.7266,0.8599,TRUE,0.2336,0.5299,0.8326,TRUE,-0.5268,0.1836,0.6987,TRUE,-0.4863,0.2159,0.6146,TRUE,0.02306,0.963,0.9975,TRUE,0.02342,0.957,0.9889,TRUE,-0.4155,0.4004,0.6439,_NE
1110051M20Rik,TRUE,-0.08744,0.5356,0.9959,TRUE,-0.05097,0.6221,0.7958,TRUE,0.1342,0.1672,0.5589,TRUE,0.2076,0.1077,0.6208,TRUE,0.1823,0.1759,0.5741,TRUE,-0.0609,0.7149,0.986,TRUE,-0.02339,0.8705,0.9654,TRUE,-0.1972,0.2353,0.4726,_NE
1110054M08Rik,TRUE,0.2842,0.3891,0.9959,TRUE,0.0921,0.6882,0.8358,TRUE,0.02365,0.923,0.9814,TRUE,-0.01887,0.9475,0.9912,TRUE,0.06118,0.8279,0.9453,TRUE,0.2161,0.5369,0.9787,TRUE,0.3845,0.248,0.6466,TRUE,0.4224,0.1708,0.3864,_NE
1110054O05Rik,TRUE,-0.01854,0.9179,0.9991,TRUE,0.1569,0.2386,0.4779,TRUE,-0.05552,0.6762,0.8934,TRUE,0.1586,0.3235,0.7794,TRUE,0.2087,0.192,0.5921,TRUE,0.03174,0.876,0.9939,TRUE,-0.07871,0.6627,0.8911,TRUE,-0.04776,0.7993,0.9084,_NE
1110057K04Rik,TRUE,-0.1132,0.4632,0.9959,TRUE,0.2868,0.01113,0.0822,TRUE,-0.02547,0.8081,0.9441,TRUE,0.1854,0.1981,0.7081,TRUE,0.3396,0.02146,0.2525,TRUE,0.3829,0.02731,0.404,TRUE,0.08813,0.5798,0.8523,TRUE,0.07562,0.655,0.8299,_NE
1110058L19Rik,TRUE,0.08101,0.6964,0.9959,TRUE,0.2718,0.07592,0.2513,TRUE,0.2117,0.2495,0.645,TRUE,0.042,0.826,0.963,TRUE,0.3301,0.1099,0.487,TRUE,0.07947,0.7454,0.9885,TRUE,-0.2259,0.3132,0.7008,TRUE,0.3598,0.1515,0.3573,_NE
1110059E24Rik,TRUE,-0.1239,0.4951,0.9959,TRUE,0.2735,0.06535,0.2306,TRUE,-0.147,0.2978,0.6859,TRUE,-0.02997,0.8601,0.9727,TRUE,0.2322,0.1703,0.5675,TRUE,0.0631,0.7801,0.9896,TRUE,-0.2035,0.2855,0.6772,TRUE,0.251,0.2109,0.4409,_NE
1110059G10Rik,TRUE,-0.003695,0.9861,0.9991,TRUE,0.3318,0.04674,0.1888,TRUE,-0.097,0.5868,0.8579,TRUE,0.1105,0.5845,0.8897,TRUE,0.284,0.1774,0.576,TRUE,0.1656,0.5232,0.9765,TRUE,-0.2309,0.343,0.7233,TRUE,0.1929,0.4597,0.6917,_NE
1110065P20Rik,TRUE,0.1154,0.548,0.9959,TRUE,-0.03183,0.818,0.9134,TRUE,0.358,0.006757,0.1144,TRUE,0.2431,0.1821,0.6977,TRUE,-0.05796,0.7284,0.9087,TRUE,-0.1357,0.5365,0.9787,TRUE,0.1665,0.3602,0.7348,TRUE,-0.01167,0.958,0.9837,_NE
1110067D22Rik,TRUE,-0.04974,0.7175,0.9959,TRUE,0.3956,0.0001051,0.003155,TRUE,-0.151,0.08238,0.4179,TRUE,0.1619,0.1767,0.6937,TRUE,0.2342,0.09924,0.468,TRUE,0.165,0.3149,0.9113,TRUE,-0.08251,0.5849,0.8551,TRUE,-0.01813,0.9086,0.9616,_NE
1190002H23Rik,TRUE,0.2753,0.2716,0.9959,TRUE,0.3644,0.04071,0.1741,TRUE,-0.1401,0.467,0.8,TRUE,-0.01701,0.9389,0.9892,TRUE,0.2411,0.2654,0.6575,TRUE,0.42,0.111,0.7297,TRUE,0.1342,0.5631,0.8463,TRUE,0.683,0.006817,0.03638,_NE
1190002N15Rik,TRUE,-0.1958,0.3193,0.9959,TRUE,0.3423,0.02981,0.1468,TRUE,-0.3765,0.005625,0.104,TRUE,-0.03908,0.7723,0.9496,TRUE,0.02877,0.8555,0.9563,TRUE,-0.3991,0.05454,0.5656,TRUE,-0.4676,0.008455,0.1292,TRUE,-0.6315,0.001803,0.01261,_NE
