Identifier,isPresent_4wpi,log2.Ratio_4wpi,pValue_4wpi,fdr_4wpi,isPresent_8wpi,log2.Ratio_8wpi,pValue_8wpi,fdr_8wpi,isPresent_12wpi,log2.Ratio_12wpi,pValue_12wpi,fdr_12wpi,isPresent_14wpi,log2.Ratio_14wpi,pValue_14wpi,fdr_14wpi,isPresent_16wpi,log2.Ratio_16wpi,pValue_16wpi,fdr_16wpi,isPresent_18wpi,log2.Ratio_18wpi,pValue_18wpi,fdr_18wpi,isPresent_20wpi,log2.Ratio_20wpi,pValue_20wpi,fdr_20wpi,isPresent_term,log2.Ratio_term,pValue_term,fdr_term,CellType
Cxx1c,TRUE,0.2618,0.108,0.9959,TRUE,-0.3697,0.005513,0.05289,TRUE,0.1954,0.1073,0.469,TRUE,0.1332,0.3053,0.7687,TRUE,-0.1597,0.1971,0.5968,TRUE,-0.3079,0.1275,0.7615,TRUE,0.2522,0.1064,0.4594,TRUE,-0.1815,0.3207,0.569,_NE
Cxxc1,TRUE,0.2434,0.1431,0.9959,TRUE,-0.3429,0.007468,0.06374,TRUE,0.2318,0.0183,0.196,TRUE,0.0603,0.65,0.911,TRUE,-0.3548,0.01183,0.1902,TRUE,-0.06402,0.7536,0.9886,TRUE,0.3708,0.03412,0.2693,TRUE,-0.04785,0.7784,0.8973,_NE
Cxxc4,TRUE,0.1507,0.4089,0.9959,TRUE,-0.07905,0.6601,0.8195,TRUE,-0.0202,0.9018,0.9748,TRUE,-0.1543,0.4352,0.8376,TRUE,0.1089,0.541,0.8297,TRUE,0.01719,0.9315,0.9975,TRUE,-0.06259,0.7582,0.9292,TRUE,-0.6832,0.005416,0.03056,_NE
Cxxc5,TRUE,0.1207,0.4718,0.9959,TRUE,-0.396,0.0009533,0.01581,TRUE,0.247,0.02688,0.2436,TRUE,-0.006982,0.9551,0.9926,TRUE,-0.4572,0.0006929,0.03432,TRUE,-0.209,0.2725,0.8926,TRUE,0.4273,0.02647,0.237,TRUE,0.05426,0.7376,0.875,_NE
Cyb5,TRUE,0.1065,0.5518,0.9959,TRUE,0.2575,0.02363,0.1281,TRUE,0.09012,0.4487,0.788,TRUE,0.03459,0.8002,0.9568,TRUE,0.2749,0.07426,0.4258,TRUE,0.3181,0.08347,0.6631,TRUE,0.15,0.3593,0.7344,TRUE,0.4143,0.01651,0.07341,_NE
Cyb561,TRUE,0.3602,0.03658,0.9912,TRUE,-0.1421,0.3757,0.6129,TRUE,0.05777,0.586,0.8576,TRUE,-0.03239,0.7912,0.9544,TRUE,-0.09661,0.492,0.803,TRUE,-0.2821,0.1183,0.7464,TRUE,0.1985,0.2049,0.6009,TRUE,-0.4802,0.03762,0.1354,_NE
Cyb561d1,TRUE,0.002818,0.9856,0.9991,TRUE,0.1551,0.2025,0.4356,TRUE,-0.04426,0.7024,0.904,TRUE,0.1729,0.212,0.7126,TRUE,-0.009313,0.9499,0.984,TRUE,0.1936,0.2898,0.9,TRUE,0.1491,0.3902,0.7531,TRUE,0.1606,0.3646,0.6096,_NE
Cyb561d2,TRUE,0.2181,0.4224,0.9959,TRUE,-0.2624,0.1387,0.3526,TRUE,0.323,0.1105,0.4745,TRUE,0.2214,0.3388,0.788,TRUE,-0.1944,0.4171,0.7619,TRUE,0.06265,0.8323,0.9924,TRUE,0.2831,0.268,0.6619,TRUE,-0.273,0.3084,0.5564,_NE
Cyb5b,TRUE,-0.1168,0.4601,0.9959,TRUE,0.1534,0.1443,0.3603,TRUE,0.02209,0.7981,0.941,TRUE,0.119,0.3192,0.7772,TRUE,0.2202,0.08046,0.4379,TRUE,0.1465,0.36,0.9342,TRUE,-0.01311,0.9256,0.9801,TRUE,-0.0308,0.8377,0.9276,_NE
Cyb5d1,TRUE,-0.3442,0.1484,0.9959,TRUE,-0.1254,0.4818,0.6975,TRUE,0.05761,0.7527,0.9229,TRUE,-0.07775,0.7136,0.9295,TRUE,-0.1129,0.5812,0.8473,TRUE,-0.04249,0.8637,0.9928,TRUE,-0.1111,0.6242,0.8733,TRUE,-0.2191,0.3767,0.621,_NE
Cyb5d2,TRUE,-0.02069,0.9154,0.9991,TRUE,0.1501,0.3347,0.5767,TRUE,-0.07238,0.6438,0.8812,TRUE,0.1967,0.2988,0.7651,TRUE,0.2386,0.2295,0.6285,TRUE,0.1726,0.4359,0.9605,TRUE,-0.1364,0.5105,0.8198,TRUE,0.283,0.1956,0.4213,_NE
